  Sequence name          simbad                  feh   cfe   nfe   ofe   nafe  mgfe  alfe  sife  cafe  scfe  tife  vfe   crfe  mnfe  cofe  nife  znfe  gafe  gefe  srfe  yfe   zrfe  nbfe  mofe  rufe  rhfe  pdfe  agfe  bafe  lafe  cefe  prfe  ndfe  smfe  eufe  gdfe  tbfe  dyfe  hofe  erfe  tmfe  ybfe  lufe  hffe  osfe  irfe  ptfe  aufe  pbfe  thfe  ufe   ref      
1       42 HE0051-2304   2MASS J00535152-2247539 -2.61 -0.64     *     *     * +0.48 -0.53     * +0.37 +0.31 +0.39 +0.00 -0.34 -0.35 +0.11 -0.01 +0.33     *     * +0.17 -0.03 +0.36     *     *     *     *     *     * +0.11 +0.02     *     * +0.11     * +0.35     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       43 HE0054-2123   2MASS J00565323-2107295 -2.73     *     *     *     * +0.51 +0.05 +0.29 +0.54 +0.55 +0.73     * +0.07 -0.61 +0.44 +0.27 +0.74     *     * -0.05     *     *     *     *     *     *     *     * -0.04     *     *     * +2.34     * +1.77     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * COH04    
1       44 HE0054-0657   2MASS J00572078-0640593 -2.17 +0.29     *     *     * +0.40 -0.63     * +0.28 +0.13 +0.35     * +0.19 -0.22 +0.38 +0.24     *     *     * +0.19     *     *     *     *     *     *     *     * +0.09     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       45 CS22166-016   2MASS J00582384-1447068 -2.64 +0.42     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * +0.44     *     *     *     *     *     *     *     * -0.02     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * LAI07    
1       46 HE0057-4541   2MASS J00595927-4524534 -2.48 +0.18     *     *     * +0.43 -0.68     * +0.42 +0.31 +0.36 +0.14 -0.11 -0.16 +0.26 +0.00 +0.31     *     * +0.30 +0.10 +0.52     *     *     *     *     *     * +0.06 +0.35     *     * +0.45     * +0.80     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       47 HE0058-0244   2MASS J01005303-0228200 -2.97 +2.17 +1.87     *     * +0.72 +0.56     * +1.18 +0.78 +0.77     * -0.13 -0.18 +0.39 -0.11     *     *     * +0.56 +0.74     *     *     *     *     *     *     * +2.26 +1.84 +2.10     * +2.13     * +1.92     *     *     *     *     *     *     *     *     *     *     *     *     * +3.01     *     * COH06    
1       51 CS22953-003   2MASS J01021585-6143458 -3.02 +0.44 +0.17 +0.74 +0.33 +0.31 -0.80 +0.43 +0.40 +0.24 +0.32     * -0.22 -0.18 +0.35 +0.10 +0.33     *     * +0.47 +0.32 +0.54     *     *     *     *     *     * +0.67 +0.79 +0.87 +0.86 +0.90 +0.53 +1.23 +1.19     * +1.26 +1.12 +1.24     * +1.20     *     *     *     *     *     *     *     *     * CAY04    
1       52 HE0102-0633   2MASS J01052570-0617353 -3.12     *     *     *     * +0.59 +0.12 +0.36 +0.65 +0.35 +0.44 +1.46 -0.02 -0.41 +0.69 +0.35 +1.07     *     * -0.27 +0.91     *     *     *     *     *     *     * +0.17     *     *     *     *     * +2.07     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * COH04    
1       53 HE0104-5300   2MASS J01065190-5244105 -3.48 -0.01     *     *     * +0.42 -0.68     * +0.39 +0.18 +0.39     * -0.36 -0.78 +0.30 +0.30     *     *     * -0.35 -0.08     *     *     *     *     *     *     * -1.35     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       54 HE0104-4007   2MASS J01065601-3951512 -3.47 +0.50     *     *     * +0.38 -0.86     * +0.52 +0.54 +0.59     * -0.27 -0.49 +0.57 +0.24     *     *     * -0.74     *     *     *     *     *     *     *     * -0.47     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       55 HE0105-2202   2MASS J01073122-2146064 -2.77     *     *     *     * +0.66 -0.09 +0.38 +0.43 +0.42 +0.53     * -0.07 -0.49 +0.71 +0.00     *     *     * -0.15     *     *     *     *     *     *     *     * -0.15     *     *     *     *     * +1.89     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * COH04    
1       56 HE0105-6141   2MASS J01073782-6125176 -2.72 +0.20     *     *     * +0.50 -0.49     * +0.50 +0.45 +0.51     * -0.04 -0.33 +0.35 +0.09     *     *     * +0.22 -0.01     *     *     *     *     *     *     * +0.35     *     *     *     *     * +0.85     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       57 CS22183-031   2MASS J01090507-0443211 -3.09 +0.58     *     *     * +0.58 -0.40 +0.90 +0.45 +0.53 +0.57 +0.84     * -0.29 +0.53 +0.28     *     *     * +0.28 +0.36     *     *     *     *     *     *     * +0.63     *     *     *     *     * +1.36     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * HON04    
1       60 HE0107-52403D 2MASS J01092916-5224341 -5.84 +3.07 +1.64 +1.96 +1.26 +0.59 +0.16 +0.74 +0.32 +1.11 +0.19     * +0.53 +0.53 +1.52 -0.14 +3.26     *     * -0.06     *     *     *     *     *     *     *     * +1.12     *     *     *     *     * +2.81     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * COL06    
1       61 HE0109-3711   2MASS J01113841-3655170 -2.08 +0.31     *     *     *     *     *     * +0.59 +0.36 +0.58     * +0.11     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       62 HE0109-0742   2MASS J01114706-0726321 -2.69 -0.15     *     *     * +0.47 -0.77     * +0.40 +0.27 +0.41     * -0.08 -0.47 +0.29 +0.02     *     *     * +0.21 -0.22     *     *     *     *     *     *     * +0.00     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       63 CS29518-020   2MASS J01121320-3100053 -2.94     *     *     *     * +0.23     *     * +0.57     *     *     * -0.01     *     * +2.98 +2.94     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BON09    
1       64 HE0111-1454   2MASS J01134908-1438231 -3.16 -0.22     *     *     * +0.52 -0.37     * +0.33 +0.27 +0.43 +0.19 -0.11 -0.04 +0.30 +0.31 +0.85     *     * +0.11 -0.15 +0.34     *     *     *     *     *     * -0.53     *     *     *     *     * +0.11     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BAR05    
1       65 CS22174-007   2MASS J01140647-1102354 -2.41 +0.45 +1.36     * +0.44 +0.65     *     * +0.40 +0.27 +0.59     * -0.00     *     * +0.23 +0.27     *     *     *     *     *     *     *     *     *     *     * -0.31     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * AOK07a   
1       66 CS29518-043   2MASS J01183829-3041026 -3.37 +0.13     *     *     * +0.36     * +0.18 +0.57 +0.65 +0.69     * -0.03 -0.47 +0.74 +3.44 +3.37     *     * +0.32     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     * BON09    
